,condition_concept_id,chi2,p_value
4102,4003830,5.805094727145819,0.01597980694273475
1016,377821,5.789408323231347,0.016123014788047244
2706,436700,5.776425365748708,0.01624254202607927
402,4168681,5.763531704412657,0.01636215144684638
638,4260918,5.761047889374408,0.016385296942162158
1090,4320803,5.724274530878979,0.01673194800071525
1388,374013,5.724274530878979,0.01673194800071525
353,201916,5.710480802584401,0.01686391998526631
1289,379812,5.679158562710935,0.017167599092565936
1735,441830,5.678671510272451,0.017172365513266896
42,375292,5.654966185573527,0.017406010199532113
5783,4123726,5.623261974092435,0.017723631856431825
1625,375801,5.622919778831019,0.017727092507699143
776,4183031,5.619666511749857,0.01776002794543787
23,318736,5.6105172050584,0.01785299277206781
2429,4227210,5.60723699370694,0.017886444751011817
3139,4121803,5.604165370115984,0.017917828195312905
412,380111,5.580658225403088,0.01815989610312498
929,4169095,5.561376056555567,0.018360976691318517
1955,433450,5.544591698300623,0.018537880967019967
340,762294,5.53587972000901,0.018630396857156017
555,78804,5.503436434537855,0.01897914125461332
1818,4096856,5.5030146245912634,0.01898371959404858
1166,4131963,5.482425874429878,0.019208583664691723
2757,439248,5.472430015178971,0.019318746259802837
1017,435463,5.450672076808386,0.019560800229731095
156,437312,5.445578739817488,0.01961791437749556
554,4329707,5.443297471803717,0.01964355125721865
3556,434770,5.443297471803717,0.01964355125721865
1088,435516,5.430691746978593,0.019785840187667124
1190,79072,5.427811159770767,0.01981850455095299
829,441515,5.419127648868476,0.01991730886482446
1253,36684613,5.418572015809432,0.019923648383669026
28,4213540,5.405701967129376,0.020071075154349978
223,36713107,5.405476294676981,0.020073670279656588
3145,4073658,5.399350926297125,0.02014424178847219
1886,37016342,5.399350926297125,0.02014424178847219
627,4258683,5.3988579770497385,0.020149932293027056
2037,4155910,5.3954228999325125,0.020189632303482946
1881,257905,5.387187776561849,0.02028513740796603
1636,4151842,5.378103940288195,0.020391027497047336
3824,4279139,5.370373315968243,0.02048159355613024
3548,4138412,5.370373315968243,0.02048159355613024
2435,81239,5.359001867213582,0.020615569677649548
1482,374801,5.3539605350071735,0.020675255426353904
1302,438409,5.341769462791843,0.0208203291027217
2339,441553,5.338153038260275,0.020863566809781423
1450,4098302,5.321765923906919,0.021060657631277534
2590,440276,5.303695387373342,0.021280230967432454
935,4009619,5.303006722125133,0.021288645596951497
1258,4138617,5.299644646687916,0.02132977544517355
3267,4186463,5.29573938348057,0.021377653656822218
3803,195002,5.273738720867811,0.0216494670188013
1661,4142899,5.262506104791062,0.02178962106956616
2829,4218813,5.262506104791062,0.02178962106956616
1092,434219,5.262506104791062,0.02178962106956616
112,4346975,5.256500938233362,0.021864935173350957
3094,432347,5.233137810091292,0.022160519507279847
736,138841,5.21056673669175,0.022450015539230806
888,73754,5.186710600165234,0.022760256522593246
2074,432612,5.166360046472086,0.023028419703686027
460,432738,5.147580169701122,0.023278791877832005
806,442165,5.128586555914294,0.02353488559407937
2088,35622934,5.128188850524062,0.023540279034414153
3400,4004623,5.128188850524062,0.023540279034414153
1858,4268895,5.119098504857165,0.023663906930473575
1283,4291454,5.112842603979757,0.023749377634733584
166,261236,5.108017618476346,0.023815517257247544
2211,76565,5.105464854688558,0.02385058711827234
1667,43530719,5.090307082702779,0.024059930903044497
4061,4151937,5.090307082702779,0.024059930903044497
3569,37207866,5.072527577354639,0.02430791493302897
