,condition_concept_id,chi2,p_value,p_adj
1217,37396726,59.70574934081534,1.1015427621249005e-14,3.009584839156038e-13
318,4150125,59.59377416209735,1.1660346301255688e-14,3.1755757218515893e-13
671,4103749,59.483154173061074,1.2334546539340632e-14,3.348455014210139e-13
196,4117695,58.405663970209936,2.132761131576721e-14,5.771360297773056e-13
748,4140164,58.29679365737796,2.2541116664266802e-14,6.080376771310318e-13
1170,75004,58.24194247588868,2.3178436566274224e-14,6.232505553912408e-13
817,140641,58.19317149761686,2.3760236690194585e-14,6.368792780964775e-13
95,443731,57.88414174160675,2.7801942940638213e-14,7.42871412473594e-13
435,134159,57.85022778852458,2.8285422567097157e-14,7.53420801105406e-13
446,440383,57.81958404353975,2.872951261129928e-14,7.628583395569062e-13
1697,4196636,57.7671426180031,2.9505740174625294e-14,7.810288917875113e-13
1200,434610,57.62570785349945,3.170545276957377e-14,8.366497893884109e-13
509,444070,57.301686738450464,3.738344882965177e-14,9.834277545063502e-13
738,380094,57.22222070430604,3.892483995336045e-14,1.0208159416163696e-12
98,437758,57.19649417071254,3.943735519028994e-14,1.0310744832365957e-12
167,4297667,56.95454775439869,4.4600172101995355e-14,1.1624774918731733e-12
1330,4328079,56.92073492772553,4.53736456093825e-14,1.1760797944655327e-12
507,201078,56.91964209579797,4.5398866963009854e-14,1.1760797944655327e-12
1486,43530742,56.88802466914435,4.6134667483097725e-14,1.1915084182488795e-12
21,444100,56.58967423662204,5.3693052963855954e-14,1.3825147607087394e-12
1551,432588,56.19679340986068,6.556838441113848e-14,1.68318598894696e-12
1627,77734,55.79632913837255,8.038149385159531e-14,2.0572335941476065e-12
102,316127,55.49488567010175,9.37024853027725e-14,2.3909610138668408e-12
1108,435517,55.33732264757152,1.0152252070142652e-13,2.5827450850300032e-12
2018,4053604,55.03596529380218,1.1834435869458197e-13,3.0017075099339197e-12
1800,138384,54.94564734671893,1.2390949095797633e-13,3.133508763898586e-12
505,4164898,54.87675033143988,1.283301494237932e-13,3.235671452979142e-12
113,77965,54.739753779550156,1.3759469442975597e-13,3.459000350797741e-12
311,132797,54.676835683252236,1.4207102729539687e-13,3.557489081303895e-12
1775,4298028,54.67298314757194,1.4234980435957682e-13,3.557489081303895e-12
792,40479192,54.463038762005894,1.5839921665420467e-13,3.935433169329757e-12
675,4229440,54.463038762005894,1.5839921665420467e-13,3.935433169329757e-12
28,140214,54.29494631424919,1.7254500445999514e-13,4.274387472001687e-12
1257,372409,54.21604557097433,1.7961415565191444e-13,4.430070560556283e-12
217,4179823,54.21322425062657,1.7987223059808378e-13,4.430070560556283e-12
801,141253,54.14851531903477,1.8589428374105598e-13,4.565155285976163e-12
1820,80809,54.056920900607864,1.9476488304649928e-13,4.769213865262549e-12
1148,314379,53.428382015225424,2.681939812353806e-13,6.548403041830544e-12
341,36712983,53.34096907138385,2.803973125737718e-13,6.826750615872032e-12
340,321318,52.87945163017456,3.546605648341049e-13,8.610145198272541e-12
660,81878,52.8616466061754,3.5789019906883537e-13,8.663797782016794e-12
1814,380394,52.83785745798177,3.6225126147748033e-13,8.744457297653836e-12
536,36684676,52.78139876232353,3.7281540502603123e-13,8.97397307792121e-12
1155,435783,52.49448965752927,4.314572275117843e-13,1.0356192266010256e-11
1517,4090207,52.33952829120808,4.66881537332568e-13,1.1174908232999524e-11
2137,132706,52.2458837130415,4.896847767344845e-13,1.168778524694639e-11
299,4068482,52.07168215982141,5.351108552696884e-13,1.273623791940208e-11
1275,4115173,52.0336875640188,5.455657632294439e-13,1.2948805279778169e-11
