condition_concept_id,,chi2,p_value,p_adj,,,Article Mentions
321318,,321.6424418412099,6.355425978679618e-72,2.6208566178745472e-70,,,
443465,,321.6242500645015,6.413678198938113e-72,2.634424657840509e-70,,,
436073,,318.13728908414413,3.686749696405978e-71,1.5083741277579103e-69,,,
138525,,316.08593852849083,1.0315368418079123e-70,4.2038160235560093e-69,,,
76565,,313.1376088297996,4.526146845591225e-70,1.837332735132188e-68,,,
201061,,310.8939814004165,1.3946902086273487e-69,5.639541108192766e-68,,,
437247,,310.77489613182973,1.4805376464882218e-69,5.963467915622326e-68,,,
4112026,,310.28836940348185,1.8897547747443026e-69,7.582367420518452e-68,,,
4008220,,304.98294474997255,2.7051091119847323e-68,1.0812113035286669e-66,,,
321882,,304.09895341212945,4.214706220673464e-68,1.6781313044152737e-66,,,
201618,,303.5391807752654,5.58107532989529e-68,2.2136845354302235e-66,,,
132412,,303.0894819976836,6.9934035654943385e-68,2.763325089453124e-66,,,
762297,,301.49464892353836,1.556468599953676e-67,6.126826397999471e-66,,,
40480429,,300.41295242990805,2.677954215701782e-67,1.0501622720593555e-65,,,
436070,,300.27634749712536,2.8679042626338548e-67,1.1204233495222187e-65,,,
132393,,299.8300659250923,3.587519876391133e-67,1.3963111069459423e-65,,,
4141454,,298.7258034959339,6.242776829536542e-67,2.4207065974829754e-65,,,
138384,,297.78068198545776,1.0029791575739043e-66,3.8747060987018635e-65,,,
4256228,,292.96660887933785,1.122458336071503e-65,4.320217417946318e-64,,,
4180628,,291.0750647373115,2.89941852534753e-65,1.1118360632993187e-63,,,
40479192,,290.77694496910294,3.367191428375653e-65,1.2817528689992595e-63,,,
4229440,,290.77694496910294,3.367191428375653e-65,1.2817528689992595e-63,,,
40481089,,290.6610501294095,3.568782099367219e-65,1.353532247322049e-63,,,
4339214,,284.62412013752134,7.378178158769322e-64,2.7881464518520293e-62,,,
45769207,,284.54669336938167,7.670449548466098e-64,2.888091003900713e-62,,,
433163,,279.3716577917126,1.0292558183449044e-62,3.8613813950325796e-61,,,
40326053,,279.1803978584677,1.1329286581125428e-62,4.235034034210628e-61,,,
4306923,,278.24327817559805,1.8130947016591186e-62,6.753290372631384e-61,,,
433440,,277.04186769633475,3.313114515049128e-62,1.2257440942621753e-60,,,
141941,,277.04108511634735,3.3144158053086153e-62,1.2257440942621753e-60,,,
4111709,,275.2637307298006,8.086158372707718e-62,2.979835383304206e-60,,,
378425,,274.7787072566207,1.031440010925139e-61,3.7875351920614994e-60,,,
4106357,,272.8561112103981,2.7067251477583555e-61,9.904326667431278e-60,,,
376229,,272.82175263334125,2.7537986113016556e-61,1.0041219357419932e-59,,,
138825,,271.6594879236481,4.9344087388090695e-61,1.7929501962833515e-59,,,
134159,,267.7903117,3.439603561671399e-60,1.2454480910414347e-58,,,
75911,,266.49821814219655,6.578479060984543e-60,2.373734527838589e-58,,,
4306267,,266.0553309279249,8.21591130717163e-60,2.9543166195199854e-58,,,
441534,,266.0339817338068,8.304413344251826e-60,2.9758435680505166e-58,,,
4098604,,265.6118269334717,1.0264103282018053e-59,3.665448842155725e-58,,,
42537748,,258.8851336877354,3.0028410516741674e-58,1.068682335924587e-56,,,
320744,,257.70965191754703,5.417085293716908e-58,1.9213088864268298e-56,,,
434610,,257.4920843855416,6.042155064937936e-58,2.135716851525001e-56,,,
433968,,256.7290875158033,8.861638240288016e-58,3.121699816714341e-56,,,
4013597,,256.1791325058477,1.167877604564409e-57,4.100197319808561e-56,,,
4207539,,254.09584138582676,3.323056392715846e-57,1.1627340751886558e-55,,,
321314,,252.17901697222229,8.697659605394625e-57,3.0330898865523805e-55,,,
45772786,,251.98899786106185,9.568127262676025e-57,3.325484231228403e-55,,,
4043378,,250.72483663325642,1.804760824218747e-56,6.2516914950937396e-55,,,
438485,,250.33151400471084,2.1987042987443947e-56,7.591008329751412e-55,,,
4152933,,246.85996482495477,1.2560665862320269e-55,4.3221999881202724e-54,,,
4155040,,246.04608885107984,1.8899702962909147e-55,6.482036738962107e-54,,,
4140164,,245.48932893130558,2.4994350665711186e-55,8.544121451252324e-54,,,
441408,,244.35820922462406,4.410178806009317e-55,1.5026419066245516e-53,,,
4345578,,242.11355119043787,1.3610223789046244e-54,4.622138745613352e-53,,,
78273,,241.0633050736704,2.3060018449931617e-54,7.805853802335159e-53,,,
4098458,,240.39070018532652,3.232330268677752e-54,1.090596628314909e-52,,,
437176,,239.80915532997733,4.3283089123517185e-54,1.4556565118821702e-52,,,
133141,,238.9011838669342,6.828082067318923e-54,2.288949317534782e-52,,,
376337,,236.89418081734388,1.870383981285594e-53,6.249848981839194e-52,,,
315558,,236.21243736797803,2.633844412892509e-53,8.772727929095819e-52,,,
4338120,,234.93669380659745,4.997818576733204e-53,1.6593396373613883e-51,,,
197381,,234.8801758,5.141679893199291e-53,1.701666797774746e-51,,,
314665,,234.8518990203038,5.215202490915403e-53,1.7205201360505673e-51,,,
198803,,234.84284511045416,5.238965140545856e-53,1.7228900550807764e-51,,,
4330445,,234.7866633596013,5.388858029166266e-53,1.7665934586465565e-51,,,
374013,,234.6264143018199,5.840384044844444e-53,1.9085934274850148e-51,,,
4103749,,234.30947420363012,6.847864349688394e-53,2.230815245202564e-51,,,
255348,,234.11898870480624,7.535180802128805e-53,2.4470499654913292e-51,,,
4215402,,233.73745933853448,9.126261772138637e-53,2.9545206335222656e-51,,,
4131963,,232.95023840205045,1.3550714879875149e-52,4.373261771169644e-51,,,
443731,,232.19371153162348,1.9812548155590776e-52,6.374365338479856e-51,,,
40481896,,228.9838838664999,9.929849290229334e-52,3.184907216792075e-50,,,
40482237,,228.62641134441452,1.1882373108628889e-51,3.7994345029191204e-50,,,
77734,,228.54583433359835,1.2373032395642236e-51,3.9441887317642366e-50,,,
132706,,228.4320030342502,1.3100912822672681e-51,4.1634460566732265e-50,,,
4179873,,228.2754648597037,1.417232063965592e-51,4.490205978271473e-50,,,
438120,,227.98169598467447,1.6425148266231714e-51,5.188150175765348e-50,,,
4009585,,226.3067724,3.8089190841195606e-51,1.1994632461263778e-49,,,
45768910,,225.31822952313632,6.257537774781283e-51,1.964602192009882e-49,,,
313459,,224.51631249029836,9.360628932576478e-51,2.929989634558276e-49,,,
73923,,223.25544476400756,1.763239108620082e-50,5.502576821855823e-49,,,
4169905,,222.73330315075108,2.291906045559681e-50,7.130984318998864e-49,,,
195977,,222.17512696502928,3.0334950959730726e-50,9.410173443985722e-49,,,
4158911,,221.0318021550893,5.386709696812424e-50,1.666032356228414e-48,,,
314379,,220.67170195062494,6.45459891784894e-50,1.9903914526494415e-48,,,
444070,,219.38792026629216,1.2299702729396945e-49,3.7816127444938775e-48,,,
201621,,218.27178123642162,2.154560960908155e-49,6.604778025297212e-48,,,
4153380,,217.3437677917164,3.433928428468684e-49,1.0495701243719577e-47,,,
432585,,217.1248899039475,3.832982083796428e-49,1.1681041001411284e-47,,,
441829,,216.96427755123537,4.155014647784716e-49,1.2625412929759874e-47,,,
4110192,,215.30536348217538,9.559887628418858e-49,2.8963951088783896e-47,,,
374034,,214.59802794437462,1.3638192302411401e-48,4.12000274437963e-47,,,
43530687,,214.3605732627044,1.5365887739774223e-48,4.628472620050254e-47,,,
76240,,213.5142721,2.3506110737582603e-48,7.059985629623076e-47,,,
442306,,213.3660232270205,2.5323401779727612e-48,7.583884475358195e-47,,,
45757320,,213.01755073480342,3.016779508568356e-48,9.008727773862745e-47,,,
762289,,212.94936476950437,3.121898971844908e-48,9.29592381530438e-47,,,
45757363,,212.88009608258508,3.2324390603351225e-48,9.597573347143598e-47,,,
40481042,,212.07034283800323,4.854963576167571e-48,1.4374011818670482e-46,,,
436785,,211.40009919707398,6.79842897401525e-48,2.007081644828593e-46,,,
440700,,211.3575780357979,6.94520701439312e-48,2.0446059856536347e-46,,,
80809,,211.21869659510443,7.447051022628507e-48,2.1861512493546737e-46,,,
140214,,210.19320982879827,1.2465594285855353e-47,3.649083262496023e-46,,,
4041283,,209.05315172788764,2.210260347616859e-47,6.451973464166966e-46,,,
